Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
6,Confidence Intervals and the Normal Distribution,Mon 11/3,15,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation",,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Wed 11/5,16,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,
,,Thu 11/6,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Fri 11/7,17,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,
,,Sat 11/8,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,
7,Central Limit Theorem,Mon 11/10,18,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury",,,,,
,,Wed 11/12,19,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,3. Quiz 3 covers Lectures 13-15,
,,Thu 11/13,,,,,,,,5. Variability and the Normal Distribution,,
,,Fri 11/14,20,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,,,,
,,Sat 11/15,,,,,,5. The Normal Distribution and the Central Limit Theorem,,,,
8,Hypothesis and Permutation Testing,Mon 11/17,21,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,7. The Normal Distribution and the CLT,,,
,,Wed 11/19,22,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,4. Quiz 4 covers Lectures 16-18,
,,Thu 11/20,,,,,,,,6. Hypothesis Testing,,
,,Fri 11/21,23,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,,
9,Prediction,Mon 11/24,24,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,,,,
,,Tue 11/25,,,,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Wed 11/26,25,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,8. Hypothesis Testing and Permutation Testing,,,
,,Fri 11/28,,No Lecture (Thanksgiving 🦃),,,,,,,,
10,Review,Mon 12/1,,Review,,,,,9. Regression,,,
,,Tue 12/2,,,,,,,,7. Regression,,
,,Wed 12/3,,Review,,,,,,,5. Quiz 5 covers Lectures 19-22,
,,Thu 12/4,,,,,,Final Project,,,,
,,Fri 12/5,,"Review, Conclusion",,,,,,,,
,,Sat 12/6,,Final Exam (3-6PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM)
