Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1985-07-07,As Is,Lyceum Theatre,75075.0,4210,8
1985-07-07,Big River,Eugene O'Neill Theatre,267335.0,7874,8
1985-07-07,Biloxi Blues,Neil Simon Theatre,276542.0,8775,8
1985-07-07,Brighton Beach Memoirs,46th Street Theatre,95933.0,5266,8
1985-07-07,Cats,Winter Garden Theatre,471456.0,12069,8
1985-07-07,Doubles,Ritz Theatre,60204.0,3615,8
1985-07-07,La Cage aux Folles,Palace Theatre,392549.0,11500,8
1985-07-07,Leader of the Pack,Ambassador Theatre,81304.0,4123,8
1985-07-07,Oh! Calcutta!,Edison Theatre,32298.0,2269,9
1985-07-07,Singin' in the Rain,Gershwin Theatre,109538.0,3580,8
1985-07-07,Sunday in the Park with George,Booth Theatre,126401.0,5248,8
1985-07-07,The Odd Couple,Broadhurst Theatre,141575.0,6386,8
1985-07-07,The Tap Dance Kid,Minskoff Theatre,122135.0,4534,8
1985-07-14,42nd Street,St. James Theatre,252046.0,8606,8
1985-07-14,A Chorus Line,Sam S. Shubert Theatre,192005.0,6552,8
1985-07-14,Aren't We All?,Brooks Atkinson Theatre,213901.0,6732,8
1985-07-14,Arms and the Man,Circle in the Square Theatre,61130.0,2949,8
1985-07-14,As Is,Lyceum Theatre,74784.0,4379,8
1985-07-14,Big River,Eugene O'Neill Theatre,285309.0,8169,8
1985-07-14,Biloxi Blues,Neil Simon Theatre,288929.0,10369,8
1985-07-14,Brighton Beach Memoirs,46th Street Theatre,94826.0,5103,8
1985-07-14,Cats,Winter Garden Theatre,470452.0,12020,8
1985-07-14,Doubles,Ritz Theatre,61308.0,3517,8
1985-07-14,La Cage aux Folles,Palace Theatre,402772.0,11700,8
1985-07-14,Leader of the Pack,Ambassador Theatre,94973.0,4851,8
1985-07-14,Oh! Calcutta!,Edison Theatre,31947.0,2247,9
1985-07-14,Singin' in the Rain,Gershwin Theatre,135628.0,4535,8
1985-07-14,Sunday in the Park with George,Booth Theatre,122045.0,4588,8
1985-07-14,The Odd Couple,Broadhurst Theatre,163507.0,7100,8
1985-07-14,The Tap Dance Kid,Minskoff Theatre,127208.0,4659,8
1985-07-21,42nd Street,St. James Theatre,292708.0,9838,8
1985-07-21,A Chorus Line,Sam S. Shubert Theatre,221613.0,7925,8
1985-07-21,Aren't We All?,Brooks Atkinson Theatre,242361.0,7613,8
1985-07-21,Arms and the Man,Circle in the Square Theatre,59055.0,2904,8
1985-07-21,As Is,Lyceum Theatre,78172.0,4617,8
1985-07-21,Big River,Eugene O'Neill Theatre,282254.0,8206,8
1985-07-21,Biloxi Blues,Neil Simon Theatre,287590.0,10610,8
1985-07-21,Brighton Beach Memoirs,46th Street Theatre,99940.0,5438,8
1985-07-21,Cats,Winter Garden Theatre,465589.0,12015,8
1985-07-21,Doubles,Ritz Theatre,64884.0,3537,8
1985-07-21,La Cage aux Folles,Palace Theatre,390698.0,9997,8
1985-07-21,Leader of the Pack,Ambassador Theatre,107966.0,4996,8
