Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1998-01-25,Jackie,Belasco Theatre,96900.0,3222,8
1998-01-25,Jekyll & Hyde,Plymouth Theatre,401561.0,7409,8
1998-01-25,Les Miserables,Imperial Theatre,435282.0,10797,8
1998-01-25,Miss Saigon,Broadway Theatre,400745.0,9768,8
1998-01-25,Patti LaBelle on Broadway,St. James Theatre,482179.0,8632,6
1998-01-25,Ragtime,Ford Center for the Performing Arts,807748.0,13195,8
1998-01-25,Rent,Nederlander Theatre,553462.0,9624,8
1998-01-25,Smokey Joe's Cafe,Virginia Theatre,300699.0,7873,8
1998-01-25,Street Corner Symphony,Brooks Atkinson Theatre,70449.0,3039,8
1998-01-25,The Capeman,Marquis Theatre,385482.0,8862,7
1998-01-25,The Diary of Anne Frank,Music Box Theatre,193641.0,4635,8
1998-01-25,The King and I,Neil Simon Theatre,302288.0,8017,8
1998-01-25,The Last Night of Ballyhoo,Helen Hayes Theatre,126406.0,2650,8
1998-01-25,The Life,Ethel Barrymore Theatre,264757.0,5839,8
1998-01-25,The Lion King,Minskoff Theatre,802440.0,14011,8
1998-01-25,The Old Neighborhood,Booth Theatre,169709.0,4189,8
1998-01-25,The Phantom of the Opera,Majestic Theatre,651109.0,11935,8
1998-01-25,The Scarlet Pimpernel,Neil Simon Theatre,352080.0,7957,8
1998-01-25,The Sunshine Boys,Lyceum Theatre,179012.0,4102,8
1998-01-25,Titanic,Lunt-Fontanne Theatre,607363.0,10886,8
1998-02-01,1776,Gershwin Theatre,375979.0,10784,8
1998-02-01,A View from the Bridge,Neil Simon Theatre,160343.0,3953,8
1998-02-01,Beauty and the Beast,Lunt-Fontanne Theatre,491414.0,11160,8
1998-02-01,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,304390.0,6658,8
1998-02-01,Cats,Winter Garden Theatre,259354.0,6335,8
1998-02-01,Chicago,Ambassador Theatre,621649.0,10686,8
1998-02-01,Forever Tango,Marquis Theatre,189299.0,5165,8
1998-02-01,Freak,Cort Theatre,125197.0,6243,7
1998-02-01,Jackie,Belasco Theatre,112322.0,4041,8
1998-02-01,Jekyll & Hyde,Plymouth Theatre,412032.0,7536,8
1998-02-01,Les Miserables,Imperial Theatre,427700.0,10826,8
1998-02-01,Miss Saigon,Broadway Theatre,402259.0,9862,8
1998-02-01,Ragtime,Ford Center for the Performing Arts,806237.0,12936,8
1998-02-01,Rent,Nederlander Theatre,551823.0,9624,8
1998-02-01,Smokey Joe's Cafe,Virginia Theatre,294172.0,7529,8
1998-02-01,Street Corner Symphony,Brooks Atkinson Theatre,82854.0,5516,8
1998-02-01,The Capeman,Marquis Theatre,393456.0,12128,8
1998-02-01,The Diary of Anne Frank,Music Box Theatre,216073.0,5560,8
1998-02-01,The King and I,Neil Simon Theatre,313813.0,8421,8
1998-02-01,The Last Night of Ballyhoo,Helen Hayes Theatre,126719.0,2660,8
1998-02-01,The Life,Ethel Barrymore Theatre,258651.0,6033,8
1998-02-01,The Lion King,Minskoff Theatre,801929.0,14015,8
1998-02-01,The Old Neighborhood,Booth Theatre,155564.0,4034,8
1998-02-01,The Phantom of the Opera,Majestic Theatre,644723.0,11366,8
1998-02-01,The Scarlet Pimpernel,Neil Simon Theatre,320602.0,7534,8
1998-02-01,The Sunshine Boys,Lyceum Theatre,180645.0,4344,8
1998-02-01,Titanic,Lunt-Fontanne Theatre,606556.0,10886,8
1998-02-08,1776,Gershwin Theatre,282785.0,7983,8
1998-02-08,A View from the Bridge,Neil Simon Theatre,150155.0,3709,8
1998-02-08,Beauty and the Beast,Lunt-Fontanne Theatre,462691.0,10634,8
1998-02-08,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,277804.0,6071,8
1998-02-08,Cats,Winter Garden Theatre,247806.0,5886,8
1998-02-08,Chicago,Ambassador Theatre,593729.0,10394,8
1998-02-08,Forever Tango,Marquis Theatre,181817.0,5130,8
1998-02-08,Freak,Cort Theatre,133085.0,6662,7
1998-02-08,Jackie,Belasco Theatre,110870.0,4552,8
1998-02-08,Jekyll & Hyde,Plymouth Theatre,388378.0,7313,8
1998-02-08,Les Miserables,Imperial Theatre,407059.0,10348,8
1998-02-08,Miss Saigon,Broadway Theatre,400373.0,9774,8
1998-02-08,Ragtime,Ford Center for the Performing Arts,804672.0,13144,8
1998-02-08,Rent,Nederlander Theatre,554743.0,9624,8
1998-02-08,Smokey Joe's Cafe,Virginia Theatre,281118.0,7199,8
1998-02-08,The Capeman,Marquis Theatre,474444.0,8944,8
1998-02-08,The Diary of Anne Frank,Music Box Theatre,183598.0,4777,8
1998-02-08,The King and I,Neil Simon Theatre,304583.0,8302,8
1998-02-08,The Last Night of Ballyhoo,Helen Hayes Theatre,121578.0,2674,8
1998-02-08,The Life,Ethel Barrymore Theatre,257341.0,5514,8
1998-02-08,The Lion King,Minskoff Theatre,798506.0,13992,8
1998-02-08,The Old Neighborhood,Booth Theatre,131526.0,3576,8
1998-02-08,The Phantom of the Opera,Majestic Theatre,626625.0,11976,8
1998-02-08,The Scarlet Pimpernel,Neil Simon Theatre,355710.0,8508,8
1998-02-08,The Sound of Music,Martin Beck Theatre,213688.0,3443,3
1998-02-08,The Sunshine Boys,Lyceum Theatre,152787.0,3698,8
1998-02-08,Titanic,Lunt-Fontanne Theatre,555939.0,10132,8
1998-02-15,1776,Gershwin Theatre,492734.0,12037,8
1998-02-15,A View from the Bridge,Neil Simon Theatre,166660.0,3958,8
1998-02-15,Art,Royale Theatre,169684.0,4356,5
1998-02-15,Beauty and the Beast,Lunt-Fontanne Theatre,534979.0,12172,8
1998-02-15,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,327853.0,6874,8
1998-02-15,Cabaret,Studio 54,48008.0,822,2
1998-02-15,Cats,Winter Garden Theatre,437190.0,8975,8
1998-02-15,Chicago,Ambassador Theatre,617771.0,10786,8
1998-02-15,Forever Tango,Marquis Theatre,272664.0,5773,8
1998-02-15,Freak,Cort Theatre,173632.0,6268,7
1998-02-15,Jackie,Belasco Theatre,165147.0,4926,8
1998-02-15,Jekyll & Hyde,Plymouth Theatre,427529.0,7632,8
1998-02-15,Les Miserables,Imperial Theatre,493112.0,11139,8
1998-02-15,Miss Saigon,Broadway Theatre,460318.0,10634,8
1998-02-15,Ragtime,Ford Center for the Performing Arts,807310.0,13284,8
1998-02-15,Rent,Nederlander Theatre,551025.0,9624,8
1998-02-15,Smokey Joe's Cafe,Virginia Theatre,391199.0,7532,8
1998-02-15,The Capeman,Marquis Theatre,491743.0,8780,8
1998-02-15,The Diary of Anne Frank,Music Box Theatre,222466.0,5299,8
1998-02-15,The King and I,Neil Simon Theatre,375024.0,9306,8
1998-02-15,The Last Night of Ballyhoo,Helen Hayes Theatre,149091.0,3027,8
1998-02-15,The Life,Ethel Barrymore Theatre,303803.0,6226,8
1998-02-15,The Lion King,Minskoff Theatre,799732.0,14022,8
1998-02-15,The Old Neighborhood,Booth Theatre,132546.0,3567,8
1998-02-15,The Phantom of the Opera,Majestic Theatre,679596.0,12762,8
1998-02-15,The Scarlet Pimpernel,Neil Simon Theatre,468241.0,10241,8
1998-02-15,The Sound of Music,Martin Beck Theatre,371729.0,8292,8
1998-02-15,The Sunshine Boys,Lyceum Theatre,201539.0,4561,8
1998-02-15,Titanic,Lunt-Fontanne Theatre,616839.0,10853,8
1998-02-22,1776,Gershwin Theatre,415343.0,10217,8
1998-02-22,A View from the Bridge,Neil Simon Theatre,171449.0,3870,8
1998-02-22,"Ah, Wilderness!",Vivian Beaumont Theater,77935.0,3143,4
1998-02-22,Art,Royale Theatre,261567.0,6705,8
1998-02-22,Beauty and the Beast,Lunt-Fontanne Theatre,564573.0,13075,8
1998-02-22,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,374302.0,8031,8
1998-02-22,Cabaret,Studio 54,172373.0,3345,8
1998-02-22,Cats,Winter Garden Theatre,430227.0,10166,8
1998-02-22,Chicago,Ambassador Theatre,670636.0,11634,8
1998-02-22,Forever Tango,Marquis Theatre,207372.0,5386,8
1998-02-22,Freak,Cort Theatre,213468.0,7137,7
1998-02-22,Jackie,Belasco Theatre,115266.0,3539,8
1998-02-22,Jekyll & Hyde,Plymouth Theatre,455095.0,8197,8
1998-02-22,Les Miserables,Imperial Theatre,472485.0,11294,8
1998-02-22,Miss Saigon,Broadway Theatre,517451.0,12954,8
1998-02-22,Ragtime,Ford Center for the Performing Arts,826306.0,13934,8
1998-02-22,Rent,Nederlander Theatre,560207.0,9624,8
1998-02-22,Smokey Joe's Cafe,Virginia Theatre,348844.0,8736,8
1998-02-22,The Capeman,Marquis Theatre,475077.0,8850,8
1998-02-22,The Diary of Anne Frank,Music Box Theatre,239337.0,5943,8
1998-02-22,The King and I,Neil Simon Theatre,410381.0,9973,8
1998-02-22,The Last Night of Ballyhoo,Helen Hayes Theatre,135695.0,2896,8
1998-02-22,The Life,Ethel Barrymore Theatre,306767.0,7131,8
1998-02-22,The Lion King,Minskoff Theatre,802273.0,14031,8
1998-02-22,The Old Neighborhood,Booth Theatre,145656.0,4093,8
1998-02-22,The Phantom of the Opera,Majestic Theatre,703455.0,13080,8
1998-02-22,The Scarlet Pimpernel,Neil Simon Theatre,386816.0,9020,8
1998-02-22,The Sound of Music,Martin Beck Theatre,494549.0,10994,8
1998-02-22,The Sunshine Boys,Lyceum Theatre,185766.0,4681,8
1998-02-22,Titanic,Lunt-Fontanne Theatre,661193.0,11297,8
1998-03-01,1776,Gershwin Theatre,346793.0,9433,8
1998-03-01,"Ah, Wilderness!",Vivian Beaumont Theater,142168.0,6316,8
1998-03-01,Art,Royale Theatre,248290.0,6402,8
1998-03-01,Beauty and the Beast,Lunt-Fontanne Theatre,537311.0,12258,8
1998-03-01,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,318469.0,6678,8
1998-03-01,Cabaret,Studio 54,174178.0,3431,8
1998-03-01,Cats,Winter Garden Theatre,319420.0,7304,8
1998-03-01,Chicago,Ambassador Theatre,635891.0,10902,8
1998-03-01,Forever Tango,Marquis Theatre,195963.0,4973,8
1998-03-01,Freak,Cort Theatre,224583.0,6966,7
1998-03-01,Jackie,Belasco Theatre,127824.0,4140,8
1998-03-01,Jekyll & Hyde,Plymouth Theatre,427091.0,7545,8
1998-03-01,Les Miserables,Imperial Theatre,460516.0,11240,8
1998-03-01,Miss Saigon,Broadway Theatre,449323.0,11600,8
1998-03-01,Ragtime,Ford Center for the Performing Arts,818225.0,13767,8
1998-03-01,Rent,Nederlander Theatre,563207.0,9624,8
1998-03-01,Smokey Joe's Cafe,Virginia Theatre,303812.0,7428,8
1998-03-01,The Capeman,Marquis Theatre,404690.0,7766,8
1998-03-01,The Deep Blue Sea,Criterion Center Stage Right,27399.0,668,2
1998-03-01,The Diary of Anne Frank,Music Box Theatre,196053.0,5035,8
1998-03-01,The Last Night of Ballyhoo,Helen Hayes Theatre,131548.0,2712,8
1998-03-01,The Life,Ethel Barrymore Theatre,283402.0,6316,8
1998-03-01,The Lion King,Minskoff Theatre,798182.0,13997,8
1998-03-01,The Old Neighborhood,Booth Theatre,85004.0,2559,8
1998-03-01,The Phantom of the Opera,Majestic Theatre,693049.0,12452,8
1998-03-01,The Scarlet Pimpernel,Neil Simon Theatre,378701.0,8399,8
1998-03-01,The Sound of Music,Martin Beck Theatre,381197.0,9583,8
1998-03-01,The Sunshine Boys,Lyceum Theatre,156605.0,3743,8
1998-03-01,Titanic,Lunt-Fontanne Theatre,620599.0,10983,8
1998-03-08,1776,Gershwin Theatre,361043.0,9221,8
1998-03-08,"Ah, Wilderness!",Vivian Beaumont Theater,151868.0,6858,8
1998-03-08,Art,Royale Theatre,339324.0,7705,8
1998-03-08,Beauty and the Beast,Lunt-Fontanne Theatre,560293.0,10421,8
1998-03-08,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,336409.0,7436,8
1998-03-08,Cabaret,Studio 54,177623.0,3601,8
1998-03-08,Cats,Winter Garden Theatre,335067.0,7803,8
1998-03-08,Chicago,Ambassador Theatre,643385.0,11060,8
1998-03-08,Forever Tango,Marquis Theatre,198579.0,5294,8
1998-03-08,Freak,Cort Theatre,258593.0,7250,7
1998-03-08,Jekyll & Hyde,Plymouth Theatre,430502.0,7609,8
1998-03-08,Les Miserables,Imperial Theatre,475012.0,11273,8
1998-03-08,Miss Saigon,Broadway Theatre,485967.0,12774,8
1998-03-08,Ragtime,Ford Center for the Performing Arts,830123.0,13822,8
1998-03-08,Rent,Nederlander Theatre,554282.0,9624,8
1998-03-08,Smokey Joe's Cafe,Virginia Theatre,307968.0,7644,8
1998-03-08,The Capeman,Marquis Theatre,377729.0,7248,8
1998-03-08,The Deep Blue Sea,Criterion Center Stage Right,102402.0,3327,8
1998-03-08,The Diary of Anne Frank,Music Box Theatre,173179.0,4506,8
1998-03-08,The Last Night of Ballyhoo,Helen Hayes Theatre,135988.0,2781,8
1998-03-08,The Life,Ethel Barrymore Theatre,273864.0,6000,8
1998-03-08,The Lion King,Minskoff Theatre,804279.0,14098,8
1998-03-08,The Old Neighborhood,Booth Theatre,130533.0,4032,8
1998-03-08,The Phantom of the Opera,Majestic Theatre,622918.0,11422,8
1998-03-08,The Scarlet Pimpernel,Neil Simon Theatre,433962.0,9613,8
1998-03-08,The Sound of Music,Martin Beck Theatre,423936.0,8835,8
1998-03-08,The Sunshine Boys,Lyceum Theatre,161279.0,4010,8
1998-03-08,Titanic,Lunt-Fontanne Theatre,605414.0,10571,8
1998-03-15,1776,Gershwin Theatre,377388.0,10149,8
1998-03-15,"Ah, Wilderness!",Vivian Beaumont Theater,147657.0,6415,8
1998-03-15,Art,Royale Theatre,367781.0,8602,8
1998-03-15,Beauty and the Beast,Lunt-Fontanne Theatre,590461.0,10930,8
1998-03-15,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,350725.0,7692,8
1998-03-15,Cabaret,Studio 54,147752.0,3059,8
1998-03-15,Cats,Winter Garden Theatre,401255.0,9253,8
1998-03-15,Chicago,Ambassador Theatre,659350.0,11316,8
1998-03-15,Forever Tango,Marquis Theatre,194898.0,5090,8
1998-03-15,Freak,Cort Theatre,261351.0,7308,7
1998-03-15,Jekyll & Hyde,Plymouth Theatre,450383.0,8045,8
1998-03-15,Les Miserables,Imperial Theatre,518938.0,10810,8
1998-03-15,Miss Saigon,Broadway Theatre,475684.0,11243,8
1998-03-15,Ragtime,Ford Center for the Performing Arts,840257.0,14085,8
1998-03-15,Rent,Nederlander Theatre,550263.0,9624,8
1998-03-15,Smokey Joe's Cafe,Virginia Theatre,316784.0,7638,8
1998-03-15,The Capeman,Marquis Theatre,399464.0,8315,8
1998-03-15,The Deep Blue Sea,Criterion Center Stage Right,128361.0,3673,8
1998-03-15,The Diary of Anne Frank,Music Box Theatre,200644.0,5307,8
1998-03-15,The Last Night of Ballyhoo,Helen Hayes Theatre,133147.0,2698,8
1998-03-15,The Life,Ethel Barrymore Theatre,293464.0,6472,8
1998-03-15,The Lion King,Minskoff Theatre,799203.0,14117,8
1998-03-15,The Old Neighborhood,Booth Theatre,132303.0,4224,8
1998-03-15,The Phantom of the Opera,Majestic Theatre,700170.0,13001,8
1998-03-15,The Scarlet Pimpernel,Neil Simon Theatre,440600.0,10098,8
1998-03-15,The Sound of Music,Martin Beck Theatre,408897.0,10940,8
1998-03-15,The Sunshine Boys,Lyceum Theatre,156724.0,3909,8
1998-03-15,Titanic,Lunt-Fontanne Theatre,630820.0,11052,8
1998-03-22,1776,Gershwin Theatre,416406.0,10438,8
1998-03-22,"Ah, Wilderness!",Vivian Beaumont Theater,159847.0,6528,8
1998-03-22,Art,Royale Theatre,408653.0,8142,8
1998-03-22,Beauty and the Beast,Lunt-Fontanne Theatre,629588.0,11557,8
1998-03-22,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,384017.0,8334,8
1998-03-22,Cabaret,Studio 54,151753.0,3093,8
1998-03-22,Cats,Winter Garden Theatre,444476.0,10093,8
1998-03-22,Chicago,Ambassador Theatre,683278.0,11828,8
1998-03-22,Forever Tango,Marquis Theatre,214208.0,5570,8
1998-03-22,Freak,Cort Theatre,259063.0,7348,7
1998-03-22,Jekyll & Hyde,Plymouth Theatre,468572.0,8237,8
1998-03-22,Les Miserables,Imperial Theatre,538672.0,11186,8
1998-03-22,Miss Saigon,Broadway Theatre,534029.0,11975,8
1998-03-22,Ragtime,Ford Center for the Performing Arts,852488.0,14472,8
1998-03-22,Rent,Nederlander Theatre,551088.0,9624,8
1998-03-22,Smokey Joe's Cafe,Virginia Theatre,353544.0,8606,8
1998-03-22,The Capeman,Marquis Theatre,452080.0,9323,8
1998-03-22,The Deep Blue Sea,Criterion Center Stage Right,123379.0,3527,8
1998-03-22,The Diary of Anne Frank,Music Box Theatre,238177.0,6506,8
1998-03-22,The Last Night of Ballyhoo,Helen Hayes Theatre,151536.0,3148,8
1998-03-22,The Life,Ethel Barrymore Theatre,297008.0,6390,8
1998-03-22,The Lion King,Minskoff Theatre,800528.0,14099,8
1998-03-22,The Old Neighborhood,Booth Theatre,131021.0,4235,8
1998-03-22,The Phantom of the Opera,Majestic Theatre,689181.0,12443,8
1998-03-22,The Scarlet Pimpernel,Neil Simon Theatre,435200.0,9657,8
1998-03-22,The Sound of Music,Martin Beck Theatre,578909.0,9934,8
1998-03-22,The Sunshine Boys,Lyceum Theatre,165614.0,4108,8
1998-03-22,Titanic,Lunt-Fontanne Theatre,685254.0,11726,8
1998-03-29,1776,Gershwin Theatre,391505.0,9972,8
1998-03-29,"Ah, Wilderness!",Vivian Beaumont Theater,170584.0,5871,8
1998-03-29,Art,Royale Theatre,408503.0,8013,8
1998-03-29,Beauty and the Beast,Lunt-Fontanne Theatre,614322.0,11474,8
1998-03-29,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,379035.0,8279,8
1998-03-29,Cabaret,Studio 54,183802.0,3776,8
1998-03-29,Cats,Winter Garden Theatre,434582.0,9745,8
1998-03-29,Chicago,Ambassador Theatre,682762.0,11808,8
1998-03-29,Forever Tango,Marquis Theatre,220882.0,6007,8
1998-03-29,Freak,Cort Theatre,262469.0,7352,7
1998-03-29,Golden Child,Longacre Theatre,105108.0,4526,8
1998-03-29,Jekyll & Hyde,Plymouth Theatre,459527.0,8110,8
1998-03-29,Les Miserables,Imperial Theatre,530686.0,11090,8
1998-03-29,Miss Saigon,Broadway Theatre,509141.0,11999,8
1998-03-29,Ragtime,Ford Center for the Performing Arts,853198.0,14402,8
1998-03-29,Rent,Nederlander Theatre,551403.0,9624,8
1998-03-29,Smokey Joe's Cafe,Virginia Theatre,350928.0,8477,8
1998-03-29,The Capeman,Marquis Theatre,508007.0,8210,8
1998-03-29,The Chairs,John Golden Theatre,85211.0,2719,7
1998-03-29,The Deep Blue Sea,Criterion Center Stage Right,121017.0,3046,8
1998-03-29,The Diary of Anne Frank,Music Box Theatre,216736.0,6120,8
1998-03-29,The Herbal Bed,Eugene O'Neill Theatre,44555.0,1772,4
1998-03-29,The Last Night of Ballyhoo,Helen Hayes Theatre,152823.0,3133,8
1998-03-29,The Life,Ethel Barrymore Theatre,303022.0,6716,8
1998-03-29,The Lion King,Minskoff Theatre,805082.0,14090,8
1998-03-29,The Old Neighborhood,Booth Theatre,123559.0,4182,8
1998-03-29,The Phantom of the Opera,Majestic Theatre,707847.0,12941,8
1998-03-29,The Scarlet Pimpernel,Neil Simon Theatre,395236.0,9067,8
1998-03-29,The Sound of Music,Martin Beck Theatre,594189.0,10051,8
1998-03-29,The Sunshine Boys,Lyceum Theatre,187361.0,4652,8
1998-03-29,Titanic,Lunt-Fontanne Theatre,657040.0,11241,8
1998-03-29,Wait Until Dark,Brooks Atkinson Theatre,199772.0,4041,4
1998-04-05,1776,Gershwin Theatre,308216.0,8720,8
1998-04-05,A View from the Bridge,Neil Simon Theatre,59884.0,1676,2
1998-04-05,"Ah, Wilderness!",Vivian Beaumont Theater,178928.0,6472,8
1998-04-05,Art,Royale Theatre,376549.0,7331,8
1998-04-05,Beauty and the Beast,Lunt-Fontanne Theatre,591854.0,11054,8
1998-04-05,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,358792.0,7395,8
1998-04-05,Cabaret,Studio 54,194515.0,3827,8
1998-04-05,Cats,Winter Garden Theatre,383184.0,8846,8
1998-04-05,Chicago,Ambassador Theatre,647499.0,11057,8
1998-04-05,Forever Tango,Marquis Theatre,216689.0,5631,8
1998-04-05,Freak,Cort Theatre,239522.0,6779,7
1998-04-05,Golden Child,Longacre Theatre,89755.0,3896,8
1998-04-05,High Society,St. James Theatre,316703.0,9039,8
1998-04-05,Honour,Belasco Theatre,49909.0,2205,4
1998-04-05,Jekyll & Hyde,Plymouth Theatre,420686.0,7017,8
1998-04-05,Les Miserables,Imperial Theatre,480970.0,10246,8
1998-04-05,Miss Saigon,Broadway Theatre,420989.0,9917,8
1998-04-05,Ragtime,Ford Center for the Performing Arts,841358.0,14178,8
1998-04-05,Rent,Nederlander Theatre,553755.0,9624,8
1998-04-05,Smokey Joe's Cafe,Virginia Theatre,324469.0,7015,8
1998-04-05,The Chairs,John Golden Theatre,110059.0,3433,7
1998-04-05,The Deep Blue Sea,Criterion Center Stage Right,138081.0,3521,8
1998-04-05,The Diary of Anne Frank,Music Box Theatre,202066.0,5631,8
1998-04-05,The Herbal Bed,Eugene O'Neill Theatre,90457.0,3575,8
1998-04-05,The Last Night of Ballyhoo,Helen Hayes Theatre,121081.0,2436,8
1998-04-05,The Life,Ethel Barrymore Theatre,230692.0,4823,8
1998-04-05,The Lion King,Minskoff Theatre,808447.0,14148,8
1998-04-05,The Old Neighborhood,Booth Theatre,93852.0,3193,8
1998-04-05,The Phantom of the Opera,Majestic Theatre,622209.0,10604,8
1998-04-05,The Scarlet Pimpernel,Neil Simon Theatre,281567.0,6716,8
1998-04-05,The Sound of Music,Martin Beck Theatre,539148.0,9027,8
1998-04-05,The Sunshine Boys,Lyceum Theatre,150012.0,3771,8
1998-04-05,Titanic,Lunt-Fontanne Theatre,613604.0,10450,8
1998-04-05,Wait Until Dark,Brooks Atkinson Theatre,274135.0,7607,8
1998-04-12,1776,Gershwin Theatre,305656.0,8240,8
1998-04-12,A View from the Bridge,Neil Simon Theatre,171621.0,6063,8
1998-04-12,"Ah, Wilderness!",Vivian Beaumont Theater,130449.0,4565,8
1998-04-12,Art,Royale Theatre,388581.0,7530,8
1998-04-12,Beauty and the Beast,Lunt-Fontanne Theatre,698640.0,12396,8
1998-04-12,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,421314.0,8462,8
1998-04-12,Cabaret,Studio 54,219786.0,4057,8
1998-04-12,Cats,Winter Garden Theatre,535375.0,11337,8
1998-04-12,Chicago,Ambassador Theatre,686053.0,11838,8
1998-04-12,Freak,Cort Theatre,241400.0,6825,7
1998-04-12,Golden Child,Longacre Theatre,78216.0,3479,8
1998-04-12,High Society,St. James Theatre,212130.0,5659,6
1998-04-12,Honour,Belasco Theatre,80909.0,3873,8
1998-04-12,Jekyll & Hyde,Plymouth Theatre,446843.0,7819,8
1998-04-12,Les Miserables,Imperial Theatre,567565.0,11245,8
1998-04-12,Miss Saigon,Broadway Theatre,519067.0,11558,8
1998-04-12,Ragtime,Ford Center for the Performing Arts,868273.0,14293,8
1998-04-12,Rent,Nederlander Theatre,553407.0,9624,8
1998-04-12,Smokey Joe's Cafe,Virginia Theatre,347248.0,7913,8
1998-04-12,The Chairs,John Golden Theatre,112220.0,3675,7
1998-04-12,The Deep Blue Sea,Criterion Center Stage Right,120752.0,3030,8
1998-04-12,The Diary of Anne Frank,Music Box Theatre,194972.0,5511,8
1998-04-12,The Herbal Bed,Eugene O'Neill Theatre,79169.0,3042,8
1998-04-12,The Last Night of Ballyhoo,Helen Hayes Theatre,99485.0,2090,8
1998-04-12,The Life,Ethel Barrymore Theatre,253004.0,5754,8
1998-04-12,The Lion King,Minskoff Theatre,814406.0,14120,8
1998-04-12,The Old Neighborhood,Booth Theatre,74698.0,2630,8
1998-04-12,The Phantom of the Opera,Majestic Theatre,785008.0,13080,8
1998-04-12,The Scarlet Pimpernel,Neil Simon Theatre,385798.0,8680,8
1998-04-12,The Sound of Music,Martin Beck Theatre,681519.0,10968,8
1998-04-12,The Sunshine Boys,Lyceum Theatre,132872.0,3334,8
1998-04-12,Titanic,Lunt-Fontanne Theatre,708374.0,11619,8
1998-04-12,Wait Until Dark,Brooks Atkinson Theatre,349758.0,7721,8
1998-04-19,1776,Gershwin Theatre,427784.0,10742,8
1998-04-19,A View from the Bridge,Neil Simon Theatre,249579.0,8150,8
1998-04-19,"Ah, Wilderness!",Vivian Beaumont Theater,182174.0,6319,8
1998-04-19,Art,Royale Theatre,414815.0,7991,8
1998-04-19,Beauty and the Beast,Lunt-Fontanne Theatre,715135.0,13046,8
1998-04-19,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,437611.0,8640,8
1998-04-19,Cabaret,Studio 54,196320.0,4085,8
1998-04-19,Cats,Winter Garden Theatre,548023.0,11617,8
1998-04-19,Chicago,Ambassador Theatre,684118.0,11841,8
1998-04-19,Forever Tango,Marquis Theatre,266821.0,9994,8
1998-04-19,Freak,Cort Theatre,245643.0,6941,7
1998-04-19,Golden Child,Longacre Theatre,84557.0,3452,8
1998-04-19,High Society,St. James Theatre,294393.0,6723,6
1998-04-19,Honour,Belasco Theatre,156281.0,6862,8
1998-04-19,Jekyll & Hyde,Plymouth Theatre,494899.0,8077,8
1998-04-19,Les Miserables,Imperial Theatre,578626.0,11296,8
1998-04-19,Miss Saigon,Broadway Theatre,562053.0,12570,8
1998-04-19,Ragtime,Ford Center for the Performing Arts,878255.0,14423,8
1998-04-19,Rent,Nederlander Theatre,556331.0,9624,8
1998-04-19,Smokey Joe's Cafe,Virginia Theatre,438493.0,9327,8
1998-04-19,The Beauty Queen of Leenane,Walter Kerr Theatre,320513.0,6652,8
1998-04-19,The Chairs,John Golden Theatre,182166.0,5021,7
1998-04-19,The Deep Blue Sea,Criterion Center Stage Right,140236.0,3792,8
1998-04-19,The Diary of Anne Frank,Music Box Theatre,251869.0,6726,8
1998-04-19,The Herbal Bed,Eugene O'Neill Theatre,80003.0,2860,8
1998-04-19,The Last Night of Ballyhoo,Helen Hayes Theatre,174667.0,3561,8
1998-04-19,The Life,Ethel Barrymore Theatre,316083.0,6921,8
1998-04-19,The Lion King,Minskoff Theatre,802568.0,14082,8
1998-04-19,The Old Neighborhood,Booth Theatre,112895.0,3761,8
1998-04-19,The Phantom of the Opera,Majestic Theatre,783536.0,13080,8
1998-04-19,The Scarlet Pimpernel,Neil Simon Theatre,502840.0,11431,8
1998-04-19,The Sound of Music,Martin Beck Theatre,758464.0,11456,8
1998-04-19,The Sunshine Boys,Lyceum Theatre,209556.0,5243,8
1998-04-19,Titanic,Lunt-Fontanne Theatre,720500.0,11727,8
1998-04-19,Wait Until Dark,Brooks Atkinson Theatre,397905.0,8365,8
1998-04-26,1776,Gershwin Theatre,352927.0,9422,8
1998-04-26,A View from the Bridge,Neil Simon Theatre,233136.0,7027,8
1998-04-26,"Ah, Wilderness!",Vivian Beaumont Theater,183984.0,6685,8
1998-04-26,Art,Royale Theatre,411565.0,8014,8
1998-04-26,Beauty and the Beast,Lunt-Fontanne Theatre,608177.0,11671,8
1998-04-26,"Bring in 'da Noise, Bring in 'da Funk",Ambassador Theatre,384916.0,7921,8
1998-04-26,Cabaret,Studio 54,191617.0,4012,8
1998-04-26,Cats,Winter Garden Theatre,439157.0,9950,8
1998-04-26,Chicago,Ambassador Theatre,672905.0,11606,8
1998-04-26,Forever Tango,Marquis Theatre,245078.0,9304,8
1998-04-26,Freak,Cort Theatre,223189.0,6390,7
